
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-03-20


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.7
Magnitude Max:, 7.5
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 0.0
Vs30 Max (m/sec):, 225.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 2
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, SS+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.048,0.2464204,0.2741347,0.549,0.2839912,0.2271462,0.349,0.2366016,0.259743,0.491,0.2038636,0.2705376,0.204,0.3239903,0.280058,0.285,0.5968629,0.5305692,0.817,0.8505465,0.6280664,1.55,1.231421,0.673577,3.94,0.3452123,0.4822887,1.78,0.4308683,0.5293922,1.21,0.2765599,0.2498725,0.638,0.3524025,0.3061634,0.938,0.3744636,0.4359637,0.895,0.6577699,0.3883128,0.334,0.6643786,0.9132769,0.488,0.7625772,0.6779036,2.58,0.3756655,0.7398337,0.808,0.3820678,0.4223856,0.814
0.05,0.2413923,0.2666265,0.61,0.2825105,0.2382672,0.373,0.2342394,0.2580813,0.53,0.2132864,0.2641311,0.208,0.3369505,0.2895413,0.263,0.5898611,0.5178187,0.781,0.8658992,0.7541129,1.48,1.241932,0.6824282,4.18,0.352036,0.4829669,1.36,0.4477326,0.522133,1.19,0.2865845,0.2560462,0.721,0.3555715,0.3117162,0.904,0.3858121,0.4644609,0.932,0.6555157,0.3994563,0.355,0.6564245,0.9222795,0.502,0.8397998,0.7006646,2.62,0.3768635,0.7383088,0.801,0.3931472,0.4316841,0.868
0.055,0.2648185,0.2606353,0.56,0.304974,0.2476738,0.354,0.2419057,0.2489289,0.546,0.2788474,0.27569,0.237,0.3687756,0.2748454,0.249,0.5226668,0.3868908,0.705,0.9214214,0.7149895,1.5,1.35389,0.9444488,3.95,0.3558815,0.4972366,1.38,0.4579305,0.503548,1.51,0.3057814,0.2857098,0.786,0.3497776,0.3263326,1.0,0.4586391,0.4765458,0.889,0.6497992,0.4158559,0.433,0.7537375,0.8898939,0.521,0.8491496,0.8776813,3.0,0.3864035,0.7362743,0.734,0.3864379,0.4359505,0.925
0.06,0.2562497,0.2863313,0.712,0.3390524,0.2634428,0.328,0.2608328,0.2725865,0.593,0.284622,0.3339548,0.216,0.3949713,0.278852,0.337,0.5503532,0.38068,0.721,0.9300571,0.7167885,1.1,1.330367,0.7974131,3.95,0.3537891,0.4927119,1.22,0.5084164,0.5103023,1.76,0.2971454,0.3074777,0.779,0.3567113,0.311948,1.14,0.4793262,0.5085386,0.912,0.6775494,0.4046518,0.333,0.6942537,0.9094285,0.662,0.6737936,1.037445,3.53,0.3846526,0.74186,0.601,0.3377085,0.4658578,0.892
0.065,0.29331,0.2987111,0.804,0.3625457,0.271959,0.332,0.282285,0.2615433,0.581,0.3099894,0.3678612,0.271,0.3859403,0.3444587,0.352,0.6089096,0.3978173,0.632,0.9069796,0.7026345,1.16,1.210919,0.6320609,3.71,0.3447422,0.4722614,1.68,0.6115676,0.5186538,2.0,0.3172618,0.2860698,0.936,0.3592317,0.3006011,1.08,0.4478356,0.5164614,0.966,0.7417458,0.4918163,0.334,0.7499759,0.9791842,0.539,0.7873291,0.9933129,3.61,0.388258,0.7513255,0.764,0.3603219,0.4414749,0.983
0.067,0.3080597,0.3010669,0.753,0.377525,0.2780516,0.336,0.2843448,0.2526781,0.535,0.3483188,0.3646865,0.238,0.4350218,0.3483962,0.329,0.5879481,0.4320018,0.622,0.9379091,0.7504268,1.33,1.080935,0.6093504,3.84,0.3498265,0.4778876,1.75,0.636149,0.5286739,2.12,0.3170161,0.3009436,0.967,0.3618222,0.2953452,1.11,0.4423261,0.492492,0.94,0.7624983,0.5495543,0.388,0.8184671,1.010133,0.529,0.85435,1.003205,3.63,0.3857956,0.7562218,0.775,0.3656566,0.4322426,0.89
0.07,0.3090927,0.2853281,0.735,0.3523607,0.2998081,0.392,0.2929246,0.2803938,0.515,0.4216894,0.3806204,0.218,0.4828678,0.3605843,0.39,0.5307229,0.4662111,0.622,0.9404459,0.7901672,1.31,0.9206373,0.6981364,4.1,0.3575222,0.4874754,1.73,0.6208294,0.5334972,2.42,0.3107325,0.2898346,0.875,0.3607839,0.2922641,1.2,0.3772363,0.4927244,0.906,0.7889699,0.6327766,0.475,0.9203835,1.009223,0.566,0.9393436,0.9498274,3.41,0.3827071,0.7530974,0.757,0.3659151,0.4551953,0.745
0.075,0.2677668,0.3052491,0.816,0.3518509,0.311486,0.407,0.3090361,0.3171867,0.56,0.4290636,0.4406763,0.257,0.4492738,0.3797086,0.393,0.4931488,0.4375399,0.63,0.9570354,0.8897138,1.3,0.8454117,0.6424599,4.58,0.3520507,0.5173828,1.66,0.6274272,0.5143698,2.64,0.300172,0.3132411,0.829,0.3601534,0.2919955,1.12,0.3504941,0.4950562,0.715,0.8423324,0.7198404,0.567,0.9582465,0.9285364,0.63,0.888136,0.7337744,4.38,0.3726942,0.7710486,0.993,0.4061126,0.4597329,0.546
0.08,0.2574517,0.3404265,0.825,0.2764175,0.3255102,0.564,0.2729125,0.316378,0.702,0.3308223,0.4381811,0.262,0.4643745,0.4624769,0.394,0.622463,0.4808096,0.573,0.9308981,0.7598928,1.34,1.01718,0.6387509,4.61,0.3721102,0.5325978,1.82,0.6075605,0.6251287,2.5,0.3001733,0.3289223,0.67,0.3579592,0.3057745,1.12,0.3653383,0.4442439,0.738,0.8952004,0.705226,0.558,0.8733293,0.8813664,0.786,0.8989925,0.8158556,5.48,0.4010628,0.7685665,1.16,0.4218288,0.4893051,0.519
0.085,0.2716993,0.354273,0.857,0.2460992,0.3364981,0.762,0.3143285,0.3673721,0.79,0.3359532,0.4073595,0.289,0.47901,0.521421,0.453,0.7827925,0.497979,0.494,0.9354348,0.6152005,1.05,1.052951,0.6951019,5.34,0.3580354,0.5466232,1.49,0.5669699,0.6528978,1.99,0.3360993,0.4208817,0.554,0.361656,0.337184,0.912,0.3371505,0.4564761,0.79,0.9220853,0.6240457,0.519,0.9057318,0.8710779,0.969,1.048376,0.909506,6.09,0.4087204,0.7698473,1.24,0.4797975,0.46466,0.472
0.09,0.2651751,0.3213303,1.09,0.2799984,0.3702057,0.842,0.3238147,0.373141,0.743,0.3784248,0.3508382,0.291,0.5086175,0.5858656,0.502,0.8330955,0.4617703,0.36,1.035387,0.5088487,1.13,1.090047,0.7701843,5.95,0.3542047,0.5054512,1.14,0.6038669,0.6734384,2.08,0.4172723,0.4226556,0.531,0.3506771,0.3662271,0.928,0.3462197,0.4977025,0.807,0.960161,0.4891132,0.506,1.103103,1.006887,0.966,1.143796,0.967418,4.7,0.4232782,0.7559703,1.11,0.5418172,0.5063755,0.614
0.095,0.2913057,0.3311287,1.25,0.2838184,0.3212224,0.749,0.401103,0.3255384,0.844,0.4268255,0.2713769,0.299,0.5938074,0.7233676,0.557,0.7995346,0.4076214,0.365,1.15428,0.4933253,1.25,1.175539,0.8272913,6.29,0.3635053,0.5385889,1.09,0.6668721,0.7703402,2.2,0.4012672,0.4562916,0.539,0.3786461,0.3836616,0.998,0.376521,0.452264,0.687,1.013102,0.4086692,0.591,1.177385,1.078551,0.787,1.08709,1.047702,4.18,0.4743194,0.7938164,1.18,0.5527864,0.6036932,0.648
0.1,0.3105891,0.3405719,1.31,0.2793033,0.3621275,0.747,0.4592372,0.339037,0.997,0.4184422,0.2767372,0.302,0.6814302,0.7618747,0.531,0.8828811,0.4540406,0.399,1.210906,0.5585582,1.6,1.266552,0.7347512,6.48,0.3858041,0.5758816,1.14,0.6657417,0.8130649,2.0,0.3790489,0.4888358,0.645,0.3670371,0.3753473,0.786,0.3818664,0.4285497,0.687,1.049469,0.4186937,0.64,1.23286,1.102993,0.597,1.181527,1.188255,4.06,0.4571021,0.82283,1.22,0.5370783,0.6151363,0.706
0.11,0.3298277,0.3411237,1.61,0.3572349,0.3129949,0.648,0.4762561,0.3376549,0.878,0.4725493,0.3685831,0.3,0.7179934,0.6715003,0.595,0.9312692,0.5698758,0.381,1.21928,0.600892,1.67,1.223984,0.6038795,8.42,0.4202117,0.5554703,1.23,1.007863,0.9665909,1.1,0.4655438,0.4699039,0.687,0.3777828,0.4117159,0.954,0.4110486,0.4927382,0.731,1.048617,0.4132606,0.453,1.170835,1.242194,0.489,1.127306,1.271551,6.71,0.4476547,0.78845,1.74,0.510994,0.5804465,0.728
0.12,0.3269477,0.3003528,1.64,0.369357,0.2995113,0.549,0.3547369,0.3635286,1.03,0.4179351,0.4108863,0.296,0.6154937,0.5750644,0.448,0.6016954,0.4992834,0.39,1.170755,0.5563851,1.27,0.9880903,0.6619648,7.97,0.4297065,0.648555,1.1,1.319456,1.055907,1.03,0.5045904,0.5240456,0.774,0.3625685,0.3314476,0.947,0.5184256,0.5237359,0.855,1.007402,0.511853,0.383,1.077847,1.326272,0.433,1.128048,1.18372,7.12,0.4827139,0.8500059,1.74,0.6367689,0.578716,0.645
0.13,0.3821789,0.363982,1.24,0.425054,0.3880332,0.397,0.4294705,0.3347844,0.698,0.4042559,0.4784957,0.322,0.6863427,0.6827891,0.425,0.7131932,0.4903389,0.378,1.111207,0.7105015,0.953,0.6943218,0.6680781,6.24,0.4182191,0.5998525,0.923,1.381338,1.216931,1.11,0.513406,0.5815109,0.81,0.3855728,0.3461435,1.2,0.4703317,0.458624,0.686,0.8924654,0.5481009,0.405,0.8536249,1.042205,0.477,1.268264,1.292209,6.11,0.458724,0.8445977,1.52,0.7650173,0.7181536,0.542
0.133,0.3693522,0.3799717,1.12,0.4183383,0.4100992,0.38,0.4442299,0.3282039,0.707,0.3969778,0.5049608,0.329,0.6906803,0.7513701,0.42,0.7799146,0.4881929,0.379,1.097921,0.7803262,0.894,0.6400605,0.6557828,5.68,0.4216892,0.5341451,0.846,1.357789,1.205958,1.08,0.5035093,0.6090913,0.788,0.3942882,0.3591963,1.42,0.474059,0.4797673,0.677,0.8553248,0.5346498,0.405,0.8070761,0.9440879,0.484,1.217183,1.313114,5.83,0.4688689,0.8429163,1.47,0.7832313,0.7223179,0.522
0.14,0.3402065,0.3830048,0.858,0.4368937,0.4323094,0.35,0.4308108,0.3355059,0.801,0.3869502,0.476299,0.317,0.7038336,0.851567,0.358,0.7767211,0.447293,0.394,1.113304,0.8651508,0.866,0.5462577,0.8395566,4.72,0.4091519,0.5731627,0.754,1.261289,1.098569,1.07,0.5640336,0.6220111,0.774,0.384121,0.5013981,1.81,0.414721,0.4729665,0.656,0.8408016,0.5367308,0.397,0.824882,0.8637652,0.484,1.014746,1.322713,6.75,0.4738746,0.8240405,1.49,0.676311,0.6769258,0.47
0.15,0.3454677,0.4298757,0.619,0.3913687,0.4261279,0.302,0.4798691,0.3480014,0.629,0.4198222,0.4667196,0.286,0.7127696,0.8309202,0.304,0.6821461,0.5526196,0.411,1.10663,0.9000472,0.856,0.5145416,0.8171608,3.86,0.4401407,0.6782174,0.64,1.507989,1.212547,0.924,0.5745745,0.5155358,0.744,0.3830528,0.5138702,1.84,0.4251272,0.4966313,0.612,0.7800824,0.487956,0.491,0.8713418,0.8749196,0.469,1.214021,1.240438,5.62,0.5245,0.8523417,1.51,0.7853667,0.6708084,0.479
0.16,0.361891,0.4860971,0.524,0.3547467,0.5535406,0.366,0.5067423,0.3531142,0.44,0.412756,0.4543064,0.223,0.7714115,0.684609,0.286,0.7222576,0.6140792,0.39,1.208284,0.921253,0.962,0.529313,0.6680411,3.2,0.460035,0.6321533,0.564,1.399594,1.150187,0.778,0.4313872,0.4892076,0.688,0.358757,0.4722279,1.78,0.4760136,0.4449616,0.421,0.6900704,0.4733558,0.459,0.9707214,0.8354293,0.492,1.528655,1.288516,3.43,0.4740743,0.860051,1.37,0.746148,0.6818587,0.483
0.17,0.4337474,0.4888227,0.494,0.3430239,0.6228826,0.435,0.5018308,0.3803384,0.447,0.3974687,0.5404726,0.211,0.8653182,0.8228734,0.239,0.9690624,0.645066,0.332,1.218264,0.9424239,0.792,0.5971416,0.583502,2.79,0.4379812,0.6180532,0.574,1.362257,0.9807291,0.672,0.4392928,0.6318866,0.649,0.4363189,0.4861106,1.86,0.4992433,0.4304382,0.42,0.6342617,0.457895,0.466,1.134578,0.8005322,0.674,1.603574,1.187687,3.11,0.4849429,0.9043313,1.3,0.6491635,0.7771881,0.394
0.18,0.4932866,0.4541559,0.5,0.3073214,0.656732,0.414,0.5281142,0.4043028,0.435,0.3425216,0.5862862,0.252,1.006371,0.7909292,0.209,1.067859,0.5815777,0.279,1.218413,0.8659968,0.877,0.5936658,0.5604243,2.62,0.5141252,0.63231,0.51,1.254639,0.8626179,0.58,0.4629986,0.6992363,0.617,0.5300323,0.4730301,1.75,0.4952917,0.5334131,0.337,0.670128,0.4429415,0.448,1.158541,1.010335,0.658,1.648557,1.194355,2.99,0.55398,0.8557318,1.49,0.775636,0.8914115,0.355
0.19,0.5439961,0.4418289,0.504,0.3581321,0.5996835,0.342,0.5809336,0.4549712,0.349,0.365234,0.6120467,0.265,0.9374844,0.6557235,0.165,1.085001,0.6704154,0.291,1.210171,0.8158901,0.901,0.5939976,0.5981462,2.48,0.5394581,0.6890851,0.369,0.9736353,0.9744337,0.515,0.5438546,0.7529185,0.472,0.526606,0.3976578,1.33,0.4962874,0.6007636,0.296,0.8409843,0.5700072,0.409,1.107138,0.9868504,0.486,1.598293,1.139066,3.02,0.5637088,0.7748044,1.33,0.9154172,0.8954482,0.365
0.2,0.5178984,0.4617906,0.547,0.4335264,0.5112725,0.285,0.5694796,0.522068,0.278,0.3583935,0.5710233,0.259,0.8246082,0.7305636,0.178,1.056037,0.7429379,0.339,1.172495,0.7207592,0.802,0.6453405,0.6813107,2.37,0.5425786,0.7371879,0.335,0.942544,0.9956898,0.507,0.5195564,0.8677805,0.417,0.4711422,0.4051971,1.28,0.5478438,0.5595379,0.354,1.012003,0.6302097,0.421,0.8766755,0.985388,0.38,1.450325,1.229293,3.08,0.6341106,0.8048475,1.09,1.001921,1.017966,0.369
0.22,0.5307956,0.4198965,0.546,0.4803671,0.3908929,0.247,0.4241591,0.4933769,0.284,0.3181482,0.6489648,0.313,0.8233059,0.7128006,0.163,1.08344,0.8017987,0.271,1.212931,0.6930077,0.634,0.6747231,0.7417393,2.19,0.5162991,0.7363222,0.356,0.9861884,0.9631741,0.333,0.6343918,0.9990037,0.304,0.4581171,0.3472956,1.64,0.5484008,0.5472031,0.436,1.013388,0.6501397,0.361,1.038248,1.028705,0.357,1.220227,1.242166,2.96,0.6823376,0.9287426,0.932,1.009004,0.9681473,0.318
0.24,0.6370649,0.464426,0.509,0.5142392,0.4035197,0.214,0.4820479,0.4511069,0.316,0.34403,0.597348,0.264,0.8455923,0.6451481,0.2,1.035826,0.8548517,0.384,1.172649,0.6433237,0.577,0.831699,1.094891,1.77,0.599771,0.7500721,0.415,1.081388,1.141891,0.262,0.5530276,0.8282635,0.307,0.6358732,0.3507882,1.71,0.6538399,0.6448531,0.393,1.052649,0.6471056,0.313,1.486075,1.158204,0.448,1.036197,1.103403,2.3,0.6463536,0.8308694,1.06,1.069885,1.21611,0.291
0.25,0.6626394,0.4755965,0.482,0.5710315,0.4234392,0.186,0.5253187,0.400251,0.321,0.4111778,0.6709913,0.225,0.855329,0.6321545,0.187,1.009793,0.8703561,0.411,1.140902,0.6797401,0.552,0.8943577,1.059203,1.58,0.5166985,0.771763,0.41,1.168043,1.215711,0.305,0.5199223,0.6812477,0.262,0.6410705,0.3771967,1.6,0.7361556,0.7133319,0.476,1.027995,0.7141528,0.283,1.492716,1.035351,0.566,0.953459,1.015867,1.94,0.6393368,0.7698575,0.977,0.9238153,0.9818476,0.345
0.26,0.6811615,0.523581,0.488,0.6031978,0.515601,0.161,0.5020363,0.3536538,0.261,0.4643798,0.6753179,0.197,0.8253393,0.6279547,0.148,1.003993,0.8415234,0.398,1.107296,0.7622761,0.464,0.8496019,0.981402,1.45,0.603957,0.7856442,0.397,1.089898,1.169828,0.34,0.5432034,0.7517732,0.242,0.5984279,0.3749575,1.48,0.836946,0.7412706,0.526,0.9978038,0.791169,0.248,1.352228,0.8917233,0.623,1.015142,1.034938,1.87,0.6848135,0.7336056,0.792,0.7207577,0.8698811,0.357
0.28,0.7825072,0.6691954,0.472,0.5817453,0.6929947,0.13,0.5092611,0.3571321,0.296,0.4824064,0.495371,0.13,0.7012907,0.4844502,0.102,0.9882596,0.6541126,0.339,1.04386,0.9499634,0.434,0.7437736,0.8047829,1.29,0.7117607,0.7771255,0.441,1.202559,0.8767047,0.442,0.6039717,0.9718386,0.218,0.4875125,0.4365021,1.35,0.9522986,0.8951947,0.43,1.000765,0.958765,0.245,0.9728189,0.8370196,0.486,0.9839184,0.9929253,2.07,0.7524217,0.8942929,0.753,0.764615,0.9960956,0.267
0.29,0.7727173,0.7208623,0.451,0.5316838,0.7160949,0.14,0.470049,0.3914958,0.286,0.4865768,0.560856,0.147,0.6703145,0.4451523,0.107,0.9851639,0.5479805,0.286,1.005639,1.033431,0.436,0.7477435,0.8601648,1.22,0.6375838,0.755812,0.488,1.109565,0.9176611,0.431,0.7068662,0.9336711,0.261,0.4043461,0.4757203,1.11,0.9336473,0.945064,0.368,1.014393,1.013944,0.275,0.920072,0.9579597,0.403,0.9231873,0.946577,1.87,0.8201455,0.9562046,0.79,0.7874115,0.8697032,0.278
0.3,0.7350886,0.7546751,0.426,0.4601665,0.699747,0.141,0.404939,0.3980505,0.242,0.4866435,0.5796725,0.156,0.6698304,0.365515,0.107,0.9896138,0.4586905,0.259,0.9707924,1.096937,0.431,0.8633792,0.9011615,1.14,0.6203337,0.7382555,0.515,0.8747556,0.9799766,0.39,0.7707483,0.7818295,0.292,0.43847,0.5022364,0.831,0.8796833,0.9723642,0.367,1.049118,1.055004,0.271,1.02487,1.108237,0.341,0.8619282,1.021222,1.52,0.8860015,0.9358019,0.809,0.7056051,0.8121822,0.273
0.32,0.714411,0.7578,0.357,0.3320337,0.6458566,0.134,0.3655316,0.4391796,0.239,0.5666493,0.5446853,0.156,0.6844869,0.3718386,0.116,1.026483,0.5534071,0.207,0.9337729,1.217623,0.405,0.8672749,0.814988,1.18,0.7064858,0.755105,0.508,0.6222014,1.052628,0.274,0.930164,0.5369009,0.312,0.4621797,0.5177755,0.914,0.7233388,1.019728,0.372,1.12478,1.071402,0.253,1.379695,1.318831,0.288,0.7757218,1.230628,1.14,1.091718,0.8415421,0.887,0.6213659,0.8469746,0.276
0.34,0.6623431,0.7092971,0.272,0.2639532,0.5985392,0.147,0.4173,0.445109,0.201,0.5693619,0.5272596,0.135,0.7920293,0.3316478,0.156,1.017309,0.6733336,0.244,1.273732,1.28392,0.455,0.7241924,0.7915082,1.17,0.6348063,0.7615439,0.505,0.6448184,1.018541,0.23,0.9369062,0.5617232,0.322,0.4434951,0.505407,0.855,0.8816941,1.088338,0.305,1.138988,1.015115,0.315,1.657307,1.341903,0.349,0.7070761,1.231951,1.03,1.148513,0.8468216,0.831,0.6861014,0.9543622,0.289
0.35,0.6547174,0.6973767,0.231,0.2394962,0.5484818,0.142,0.4524533,0.4603054,0.198,0.5213122,0.487163,0.116,0.7811939,0.307264,0.145,1.027928,0.6722863,0.275,1.276565,1.305696,0.486,0.7000267,0.823446,1.13,0.5502008,0.7763491,0.496,0.6148093,1.106853,0.25,0.8798925,0.5423793,0.278,0.4466214,0.4975939,0.798,0.9748503,1.054696,0.325,1.109917,1.010971,0.308,1.761884,1.311708,0.356,0.6696477,1.282963,0.988,1.044736,0.795841,0.68,0.7136099,0.9820479,0.256
0.36,0.6573217,0.7015814,0.195,0.217518,0.4833833,0.129,0.4510988,0.4597724,0.208,0.4673926,0.4321887,0.094,0.7690092,0.2890207,0.127,1.040243,0.6424445,0.315,1.154747,1.32155,0.513,0.6824234,0.8302374,1.07,0.4819182,0.7914076,0.48,0.6754825,1.129506,0.247,0.7969,0.5037353,0.247,0.4721393,0.4917368,0.79,1.028676,0.9966025,0.356,1.067097,0.9917925,0.299,1.847927,1.280561,0.348,0.6713648,1.264144,0.962,0.9714149,0.7705029,0.586,0.7424684,1.004346,0.247
0.38,0.653541,0.7258437,0.168,0.1757056,0.4442164,0.113,0.3763604,0.4626792,0.221,0.4188808,0.398977,0.0845,0.690086,0.2770312,0.105,0.9777236,0.5594923,0.299,0.9381148,1.337896,0.57,0.5799838,0.8176327,0.936,0.4087572,0.81605,0.427,0.6804742,1.22499,0.192,0.6002807,0.5471035,0.255,0.4803501,0.4920743,0.628,1.161051,0.8701909,0.352,0.9718013,0.9426296,0.271,1.939025,1.261507,0.337,0.7451984,1.132564,0.938,0.8605002,0.7597038,0.507,0.734637,0.9669096,0.19
0.4,0.603989,0.7169578,0.157,0.1803724,0.4758415,0.0942,0.3696081,0.43081,0.21,0.3918906,0.4336319,0.0893,0.5876182,0.2937341,0.08,0.8610169,0.5064867,0.236,0.9100972,1.33739,0.608,0.5207438,0.8288495,0.829,0.4002186,0.8346559,0.366,0.5821809,1.348035,0.134,0.5458901,0.5715187,0.236,0.473052,0.503055,0.604,1.094918,0.7863503,0.283,0.8845603,0.9093404,0.293,1.886248,1.293214,0.314,0.7753432,1.098981,0.882,0.9003632,0.7305108,0.406,0.6684878,0.8869445,0.193
0.42,0.5280716,0.6646346,0.151,0.1738456,0.4928114,0.093,0.4974873,0.3913049,0.2,0.4372091,0.4328978,0.0994,0.5985836,0.3192769,0.0765,0.788251,0.5219025,0.24,0.8227155,1.299087,0.612,0.526534,0.8154448,0.788,0.4517561,1.004199,0.31,0.5077061,1.266324,0.123,0.4541119,0.4370931,0.233,0.486885,0.5194805,0.494,1.053456,0.712234,0.217,0.9287079,0.8872722,0.345,1.697278,1.33214,0.247,0.9279922,1.260775,0.853,0.9323603,0.7384104,0.402,0.7436751,0.7746737,0.189
0.44,0.465793,0.6010544,0.142,0.1628711,0.4957241,0.087,0.5793137,0.3567633,0.186,0.4972672,0.4000022,0.102,0.5536794,0.3315879,0.0914,0.7707706,0.5733246,0.254,0.8020072,1.227484,0.578,0.5812978,0.7467253,0.753,0.4723094,1.08681,0.272,0.5285805,1.140401,0.126,0.4662527,0.3844871,0.203,0.5181499,0.5298485,0.505,1.012469,0.6223133,0.229,0.9191137,0.9148881,0.369,1.422542,1.352902,0.213,0.9334415,1.43039,0.784,0.9943554,0.7483031,0.377,0.7609544,0.7077785,0.199
0.45,0.4462109,0.5747913,0.137,0.1583571,0.4924291,0.0799,0.636734,0.3472893,0.193,0.5315846,0.3700196,0.106,0.5167511,0.3345564,0.0977,0.761341,0.5977793,0.249,0.8268275,1.189687,0.55,0.5848022,0.6979035,0.732,0.499422,1.088416,0.288,0.5629754,1.128945,0.132,0.5019569,0.3902209,0.172,0.5379243,0.5292838,0.483,1.058217,0.5734254,0.255,0.8981351,0.9265132,0.374,1.285857,1.35003,0.205,0.8851162,1.468021,0.75,1.060433,0.74269,0.384,0.7333099,0.6690865,0.199
0.46,0.4339469,0.5544402,0.135,0.1542004,0.4867829,0.0727,0.6878297,0.3970082,0.191,0.5395851,0.3333929,0.111,0.5198621,0.3533346,0.108,0.7523951,0.6168411,0.239,0.8507568,1.153674,0.524,0.574312,0.676131,0.706,0.5199221,1.064019,0.298,0.597888,1.130213,0.144,0.5326055,0.3797662,0.149,0.560657,0.5243289,0.501,1.11443,0.5460279,0.287,0.8722004,0.9463562,0.376,1.173952,1.33528,0.199,0.8143882,1.467262,0.744,1.151305,0.7747986,0.384,0.7493347,0.6501923,0.209
0.48,0.5220002,0.5288786,0.119,0.1541802,0.4692638,0.073,0.7508739,0.4624732,0.199,0.5627385,0.3361665,0.122,0.4817164,0.4468627,0.122,0.7266362,0.6326014,0.222,0.9531032,1.085791,0.489,0.5424367,0.7032812,0.635,0.5391189,0.9556383,0.308,0.6381857,1.056142,0.164,0.5751553,0.3848489,0.138,0.6093149,0.5914665,0.554,1.127967,0.5443529,0.335,0.8148542,1.001366,0.378,1.003191,1.27007,0.243,0.6494313,1.428498,0.743,1.223321,1.002545,0.351,0.7050424,0.6640438,0.192
0.5,0.6112418,0.5132322,0.121,0.1598144,0.4490766,0.0823,0.7536447,0.4817062,0.2,0.5888999,0.3275131,0.124,0.5540323,0.4965326,0.115,0.7155373,0.6174059,0.214,1.023762,1.015542,0.453,0.5241243,0.6720003,0.535,0.5351546,0.8323377,0.316,0.6278,1.046524,0.171,0.5912939,0.3774384,0.136,0.6508464,0.6389427,0.547,0.9816803,0.5631641,0.362,0.8985096,1.04278,0.38,0.9479636,1.173033,0.262,0.5433068,1.351288,0.735,1.083648,1.122187,0.312,0.7400991,0.8475789,0.21
0.55,0.468997,0.4595058,0.128,0.1509554,0.4875044,0.0975,0.6612121,0.4944635,0.148,0.4812321,0.3407701,0.0804,0.5108503,0.377776,0.0858,0.7174436,0.479116,0.252,0.7589628,0.8219448,0.356,0.6218662,0.6225412,0.52,0.5188331,0.8426442,0.352,0.5188897,1.10397,0.146,0.5277525,0.4220317,0.127,0.6969898,0.65742,0.556,0.7753948,0.6694456,0.235,1.137739,1.063984,0.438,1.127223,0.9777621,0.154,0.6275401,0.8756308,0.648,1.015519,1.004271,0.258,0.6519362,1.006516,0.257
0.6,0.4161788,0.3900925,0.131,0.1339702,0.4627693,0.0889,0.6692579,0.5487475,0.127,0.2982284,0.2960256,0.0696,0.5531043,0.3911591,0.0771,0.7187589,0.3605724,0.209,0.5351152,0.6771975,0.282,0.6685666,0.6624513,0.496,0.6171094,0.8546586,0.334,0.4512694,1.087552,0.133,0.4550411,0.2759933,0.143,0.657959,0.5592383,0.423,0.7832333,0.7425068,0.145,1.241049,1.010799,0.461,1.187974,1.024081,0.104,0.7052543,0.7230645,0.628,0.8000969,0.9518567,0.278,0.5836017,0.8835066,0.286
0.65,0.4244669,0.3592894,0.124,0.1169374,0.4037792,0.0786,0.5712141,0.5392705,0.104,0.244572,0.2986278,0.0698,0.4788005,0.3511595,0.0683,0.6937745,0.3543485,0.145,0.4924572,0.6015791,0.249,0.6592448,0.638344,0.483,0.7400431,1.099732,0.264,0.6345145,0.7983208,0.126,0.4559448,0.3193276,0.12,0.5221023,0.5716971,0.458,0.7012673,0.6953819,0.114,1.271798,0.9149083,0.473,1.036518,1.158883,0.102,0.6962856,0.8904763,0.7,1.032611,1.075057,0.263,0.5374702,0.9123748,0.186
0.667,0.4751187,0.337367,0.121,0.1235327,0.3834549,0.0798,0.5344751,0.5342954,0.0977,0.2195305,0.2994697,0.0663,0.4721008,0.3398853,0.0626,0.6857132,0.3661917,0.131,0.5158287,0.5866543,0.238,0.6512427,0.627478,0.476,0.7662802,1.1903,0.244,0.6832718,0.7505625,0.132,0.4453664,0.3237877,0.116,0.5189601,0.5824015,0.467,0.6995728,0.6720918,0.118,1.271945,0.8763685,0.448,0.967787,1.196407,0.11,0.6799848,0.9395454,0.72,1.0786,1.259097,0.283,0.49979,0.9219596,0.174
