
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2026-03-20


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 5.7
Magnitude Max:, 7.5
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 0.0
Vs30 Max (m/sec):, 225.0
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 2
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, SS+Reverse


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
0.044,0.63464419,0.95534884,0.4215981,0.35831926,0.34138093,0.35705949,0.31743039,0.38974078,0.75428338,0.90006533,1.08231664,0.61747277,0.65366743,0.36448097,0.45904692,0.55370308,0.77207156,1.07760857,1.0284609,0.83670334,0.55978376
0.045,0.64674991,0.98962472,0.42267077,0.36547355,0.3410678,0.35548639,0.32501492,0.4013719,0.77795692,0.93446851,1.18045544,0.61180209,0.66247577,0.3615703,0.45603921,0.54968236,0.770745,1.09956889,1.05253195,0.83471591,0.56107143
0.046,0.65563583,1.01741759,0.42249942,0.36960494,0.34279384,0.35304092,0.32843813,0.41130304,0.79161412,0.95825103,1.2805859,0.60257068,0.6685441,0.3631888,0.45776429,0.54995397,0.76893359,1.11520146,1.0444945,0.83501614,0.56014549
0.048,0.67293793,1.0598682,0.42726582,0.36860934,0.36365698,0.35134989,0.33874911,0.42825483,0.79859188,1.05730637,1.40360381,0.59310532,0.68257131,0.37272194,0.46682282,0.5747063,0.76383773,1.12936868,1.02033194,0.82974603,0.56954842
0.05,0.68690926,1.08998768,0.4328896,0.35966642,0.36957197,0.34853128,0.33949422,0.44426321,0.78490275,1.14824548,1.41707563,0.59765071,0.68781346,0.384305,0.47286159,0.60380038,0.76763674,1.1320303,1.09370681,0.82893063,0.58388002
0.055,0.71412576,1.17325532,0.4346672,0.37156372,0.39287587,0.347108,0.39212351,0.45992982,0.65028077,1.16628786,1.65075791,0.61147026,0.68063274,0.41848818,0.47836945,0.6613968,0.77147594,1.16620383,1.2212205,0.83150918,0.58256939
0.06,0.72312509,1.14588968,0.45633528,0.3842519,0.42937005,0.37727596,0.43878866,0.48348812,0.66918301,1.17421973,1.5510461,0.60657377,0.72034414,0.42759552,0.47387182,0.69883125,0.78918709,1.14413653,1.23704888,0.83565177,0.57538728
0.065,0.73710306,1.12836363,0.48151226,0.41863956,0.45321196,0.38482427,0.48105643,0.51730234,0.72734414,1.14730433,1.36595234,0.58470336,0.80188322,0.42718963,0.46841054,0.68358548,0.8899832,1.23339594,1.26750054,0.84571525,0.56985258
0.067,0.74842305,1.13940208,0.49160614,0.43074593,0.46886866,0.38039215,0.50430371,0.55733641,0.72959477,1.20117187,1.24085792,0.59224584,0.82715273,0.43711127,0.46705898,0.66196733,0.93990084,1.30009887,1.31770034,0.8489462,0.56616112
0.07,0.75691417,1.15158333,0.49750552,0.42065475,0.46264777,0.40549415,0.56806147,0.60264612,0.70641318,1.2283333,1.15540792,0.60452824,0.81856485,0.42492209,0.46430952,0.62055182,1.01137517,1.36588318,1.33586619,0.84476057,0.58403478
